bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
F5 TOTAL,2026-03-31,MIL,TB,,Brandon Woodruff,Shane McClanahan,,,,0.2874,28.7%,,HIGH,False,High-scoring matchup; Strong value,UNDER,4.1,0.7874
F5 TOTAL,2026-03-31,PHI,WSH,,Andrew Painter,PJ Poulin,,,,0.2545,25.4%,,HIGH,False,High-scoring matchup; Strong SP matchup; Strong value,UNDER,5.0,0.7545
F5 TOTAL,2026-03-31,CHC,LAA,,Jameson Taillon,José Soriano,,,,0.2428,24.3%,,HIGH,False,High-scoring matchup; Strong SP matchup; Strong value,UNDER,3.9,0.7428
F5 TOTAL,2026-03-31,MIA,CWS,,Janson Junk,Erick Fedde,,,,0.1145,11.5%,,NO PLAY,False,Pitcher-friendly park; Strong value,UNDER,4.7,0.6145
F5 TOTAL,2026-03-31,BAL,TEX,,Zach Eflin,Jacob deGrom,,,,0.0907,9.1%,,NO PLAY,False,Strong value,UNDER,4.7,0.5907
F5 TOTAL,2026-03-31,SEA,NYY,,Logan Gilbert,Max Fried,,,,0.0837,8.4%,,NO PLAY,False,Pitcher-friendly park; Strong SP matchup; Strong value,OVER,3.9,0.5837
F5 TOTAL,2026-03-31,LAD,CLE,,Shohei Ohtani,Tanner Bibee,,,,0.0663,6.6%,,NO PLAY,False,Standard play,OVER,4.4,0.5663
F5 TOTAL,2026-03-31,HOU,BOS,,Hunter Brown,Brayan Bello,,,,0.0651,6.5%,,NO PLAY,False,Strong SP matchup,UNDER,4.1,0.5651
F5 TOTAL,2026-03-31,ARI,DET,,Brandon Pfaadt,Casey Mize,,,,0.0281,2.8%,,NO PLAY,False,Hitter-friendly park,OVER,5.0,0.5281
F5 TOTAL,2026-03-31,TOR,COL,,Max Scherzer,Ryan Feltner,,,,0.0232,2.3%,,NO PLAY,False,High-scoring matchup,OVER,4.7,0.5232
