bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,player_name,odds
PITCHER K,2026-04-11,CHC,PIT,,,,,,,0.0919,9.2%,,LOW,False,Facing high-K team,OVER 4.1 Ks,4.1,0.5919,Braxton Ashcraft,-110.0
PITCHER K,2026-04-11,KC,CWS,,,,,,,0.0842,8.4%,,LOW,False,Facing high-K team,OVER 2.7 Ks,2.7,0.5842,Erick Fedde,-110.0
PITCHER K,2026-04-11,NYM,OAK,,,,,,,0.0744,7.4%,,NO PLAY,False,Facing high-K team,OVER 4.7 Ks,4.7,0.5744,Kodai Senga,-110.0
PITCHER K,2026-04-11,BAL,SF,,,,,,,0.0534,5.3%,,NO PLAY,False,Facing high-K team,OVER 6.0 Ks,6.0,0.5534,Logan Webb,-110.0
PITCHER K,2026-04-11,PHI,ARI,,,,,,,0.049,4.9%,,NO PLAY,False,Facing high-K team,OVER 3.8 Ks,3.8,0.549,Brandon Pfaadt,-110.0
PITCHER K,2026-04-11,LAD,TEX,,,,,,,0.0433,4.3%,,NO PLAY,False,Facing high-K team,OVER 5.4 Ks,5.4,0.5433,Emmet Sheehan,-110.0
PITCHER K,2026-04-11,STL,BOS,,,,,,,0.0212,2.1%,,NO PLAY,False,Standard play,UNDER 5.1 Ks,5.1,0.5212,Ranger Suarez,-110.0
PITCHER K,2026-04-11,BAL,SF,,,,,,,0.0169,1.7%,,NO PLAY,False,Standard play,UNDER 4.6 Ks,4.6,0.5169,Chris Bassitt,-110.0
PITCHER K,2026-04-11,PHI,ARI,,,,,,,0.0168,1.7%,,NO PLAY,False,Low K average,UNDER 2.6 Ks,2.6,0.5168,Taijuan Walker,-110.0
PITCHER K,2026-04-11,CHC,PIT,,,,,,,0.0026,0.3%,,NO PLAY,False,Standard play,UNDER 5.2 Ks,5.2,0.5026,Edward Cabrera,-110.0
