bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,player_name,odds
FULL GAME TOTAL,2026-04-12,PHI,ARI,,Andrew Painter,Zac Gallen,,,,0.0993,9.9%,,NO PLAY,False,Strong value,OVER,8.5,0.5993,,
FULL GAME TOTAL,2026-04-12,BAL,SF,,Cade Povich,Adrian Houser,,,,0.0941,9.4%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Strong value",OVER,8.5,0.5941,,
FULL GAME TOTAL,2026-04-12,MIL,WSH,,Brandon Woodruff,Zack Littell,,,,0.0741,7.4%,,NO PLAY,False,"High-scoring teams, but line is inflated",UNDER,7.5,0.5741,,
FULL GAME TOTAL,2026-04-12,ATL,CLE,,Chris Sale,Tanner Bibee,,,,0.0496,5.0%,,NO PLAY,False,Standard play,UNDER,7.5,0.5496,,
FULL GAME TOTAL,2026-04-12,KC,CWS,,Noah Cameron,Grant Taylor,,,,0.0495,4.9%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Elite SPs, but line overreacts",OVER,9.0,0.5495,,
FULL GAME TOTAL,2026-04-12,TB,NYY,,Drew Rasmussen,Cam Schlittler,,,,0.0474,4.7%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,7.5,0.5474,,
FULL GAME TOTAL,2026-04-12,CHC,PIT,,Jameson Taillon,Bubba Chandler,,,,0.0427,4.3%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,12.5,0.5427,,
FULL GAME TOTAL,2026-04-12,SD,COL,,Nick Pivetta,Kyle Freeland,,,,0.0414,4.1%,,NO PLAY,False,"Pitcher-friendly park, but other factors favor OVER",OVER,7.5,0.5414,,
FULL GAME TOTAL,2026-04-12,TOR,MIN,,Max Scherzer,Taj Bradley,,,,0.0338,3.4%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,8.0,0.5338,,
FULL GAME TOTAL,2026-04-12,DET,MIA,,Tarik Skubal,Sandy Alcantara,,,,0.025,2.5%,,NO PLAY,False,Elite SP matchup,UNDER,6.0,0.525,,
FULL GAME TOTAL,2026-04-12,STL,BOS,,Andre Pallante,Brayan Bello,,,,0.0054,0.5%,,NO PLAY,False,Weak pitching matchup,OVER,9.0,0.5054,,
F5 TOTAL,2026-04-12,ATL,CLE,,Chris Sale,Tanner Bibee,,,,0.2214,22.1%,,HIGH,True,Strong value,UNDER,4.1,0.7214,,
F5 TOTAL,2026-04-12,SEA,HOU,,Logan Gilbert,TBD,,,,0.1514,15.1%,,MEDIUM,False,Pitcher-friendly park favors UNDER; Strong value,UNDER,4.1,0.6514,,
F5 TOTAL,2026-04-12,KC,CWS,,Noah Cameron,Grant Taylor,,,,0.14,14.0%,,LOW,False,"Low-scoring teams, but line is set too low; Elite SPs, but line overreacts; Strong value",OVER,5.0,0.64,,
F5 TOTAL,2026-04-12,LAD,TEX,,Roki Sasaki,Jacob deGrom,,,,0.1038,10.4%,,NO PLAY,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value",UNDER,4.7,0.6038,,
F5 TOTAL,2026-04-12,MIL,WSH,,Brandon Woodruff,Zack Littell,,,,0.0745,7.5%,,NO PLAY,False,"High-scoring teams, but line is inflated",UNDER,4.1,0.5745,,
F5 TOTAL,2026-04-12,TB,NYY,,Drew Rasmussen,Cam Schlittler,,,,0.059,5.9%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,4.1,0.559,,
F5 TOTAL,2026-04-12,CHC,PIT,,Jameson Taillon,Bubba Chandler,,,,0.0555,5.6%,,NO PLAY,False,Elite SP matchup,UNDER,6.9,0.5555,,
F5 TOTAL,2026-04-12,BAL,SF,,Cade Povich,Adrian Houser,,,,0.0488,4.9%,,NO PLAY,False,"Low-scoring teams, but line is set too low",OVER,4.7,0.5488,,
F5 TOTAL,2026-04-12,PHI,ARI,,Andrew Painter,Zac Gallen,,,,0.0438,4.4%,,NO PLAY,False,Standard play,OVER,4.7,0.5438,,
F5 TOTAL,2026-04-12,SD,COL,,Nick Pivetta,Kyle Freeland,,,,0.0373,3.7%,,NO PLAY,False,Pitcher-friendly park favors UNDER,UNDER,4.1,0.5373,,
F5 TOTAL,2026-04-12,TOR,MIN,,Max Scherzer,Taj Bradley,,,,0.0308,3.1%,,NO PLAY,False,Elite SP matchup,UNDER,4.4,0.5308,,
F5 TOTAL,2026-04-12,CIN,LAA,,Andrew Abbott,José Soriano,,,,0.026,2.6%,,NO PLAY,False,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Elite SPs, but line overreacts",OVER,4.7,0.526,,
F5 TOTAL,2026-04-12,DET,MIA,,Tarik Skubal,Sandy Alcantara,,,,0.0225,2.2%,,NO PLAY,False,Elite SP matchup,UNDER,3.3,0.5225,,
F5 TOTAL,2026-04-12,STL,BOS,,Andre Pallante,Brayan Bello,,,,0.0191,1.9%,,NO PLAY,False,Weak pitching matchup,OVER,5.0,0.5191,,
PITCHER K,2026-04-12,TB,NYY,,,,,,,0.3791,37.9%,,HIGH,True,Strong value,UNDER 5.5 Ks,5.5,0.8791,Cam Schlittler,-112.0
PITCHER K,2026-04-12,LAD,TEX,,,,,,,0.3104,31.0%,,HIGH,True,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.8104,Roki Sasaki,100.0
PITCHER K,2026-04-12,LAD,TEX,,,,,,,0.2462,24.6%,,HIGH,False,Strong value,UNDER 5.5 Ks,5.5,0.7462,Jacob deGrom,125.0
PITCHER K,2026-04-12,ATL,CLE,,,,,,,0.2351,23.5%,,HIGH,False,Strong value,UNDER 4.5 Ks,4.5,0.7351,Tanner Bibee,115.0
PITCHER K,2026-04-12,TB,NYY,,,,,,,0.2255,22.6%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.7255,Drew Rasmussen,-155.0
PITCHER K,2026-04-12,KC,CWS,,,,,,,0.1898,19.0%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.6898,Noah Cameron,-148.0
PITCHER K,2026-04-12,TOR,MIN,,,,,,,0.1885,18.9%,,HIGH,False,Facing low-K team; Low K average; Strong value,UNDER 4.5 Ks,4.5,0.6885,Taj Bradley,110.0
PITCHER K,2026-04-12,SEA,HOU,,,,,,,0.188,18.8%,,HIGH,False,Strong value,UNDER 6.5 Ks,6.5,0.688,Logan Gilbert,-147.0
PITCHER K,2026-04-12,BAL,SF,,,,,,,0.1765,17.7%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.6765,Adrian Houser,109.0
PITCHER K,2026-04-12,STL,BOS,,,,,,,0.1746,17.5%,,HIGH,False,Facing high-K team; Strong value,OVER 3.5 Ks,3.5,0.6746,Andre Pallante,-136.0
PITCHER K,2026-04-12,TOR,MIN,,,,,,,0.1599,16.0%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.6599,Max Scherzer,-150.0
PITCHER K,2026-04-12,MIL,WSH,,,,,,,0.1596,16.0%,,HIGH,False,Low K average; Strong value,UNDER 4.5 Ks,4.5,0.6596,Zack Littell,-165.0
PITCHER K,2026-04-12,NYM,OAK,,,,,,,0.1562,15.6%,,HIGH,False,Low K average; Strong value,UNDER 3.6 Ks,3.6,0.6562,Aaron Civale,-110.0
PITCHER K,2026-04-12,SD,COL,,,,,,,0.1443,14.4%,,HIGH,False,Low K average; Strong value,UNDER 3.5 Ks,3.5,0.6443,Kyle Freeland,106.0
PITCHER K,2026-04-12,NYM,OAK,,,,,,,0.1333,13.3%,,HIGH,False,Facing high-K team; Strong value,OVER 5.7 Ks,5.7,0.6333,Freddy Peralta,-110.0
PITCHER K,2026-04-12,KC,CWS,,,,,,,0.1228,12.3%,,HIGH,False,Low K average; Strong value,UNDER 0.7 Ks,0.7,0.6228,Grant Taylor,-110.0
PITCHER K,2026-04-12,CIN,LAA,,,,,,,0.1121,11.2%,,MEDIUM,False,Facing high-K team; Strong value,OVER 5.5 Ks,5.5,0.6121,Andrew Abbott,-135.0
PITCHER K,2026-04-12,MIL,WSH,,,,,,,0.1045,10.5%,,MEDIUM,False,Strong value,UNDER 6.5 Ks,6.5,0.6045,Brandon Woodruff,-149.0
PITCHER K,2026-04-12,CHC,PIT,,,,,,,0.0865,8.7%,,LOW,False,Standard play,UNDER 4.5 Ks,4.5,0.5865,Bubba Chandler,109.0
PITCHER K,2026-04-12,DET,MIA,,,,,,,0.0701,7.0%,,NO PLAY,False,Standard play,UNDER 7.5 Ks,7.5,0.5701,Tarik Skubal,100.0
PITCHER K,2026-04-12,STL,BOS,,,,,,,0.0678,6.8%,,NO PLAY,False,Low K average,UNDER 4.5 Ks,4.5,0.5678,Brayan Bello,-143.0
PITCHER K,2026-04-12,ATL,CLE,,,,,,,0.061,6.1%,,NO PLAY,False,Standard play,UNDER 6.5 Ks,6.5,0.561,Chris Sale,110.0
PITCHER K,2026-04-12,CIN,LAA,,,,,,,0.0598,6.0%,,NO PLAY,False,Facing high-K team,OVER 5.5 Ks,5.5,0.5598,José Soriano,102.0
PITCHER K,2026-04-12,PHI,ARI,,,,,,,0.0532,5.3%,,NO PLAY,False,Facing high-K team,OVER 5.5 Ks,5.5,0.5532,Zac Gallen,109.0
PITCHER K,2026-04-12,BAL,SF,,,,,,,0.046,4.6%,,NO PLAY,False,Standard play,UNDER 5.5 Ks,5.5,0.546,Cade Povich,-133.0
PITCHER K,2026-04-12,DET,MIA,,,,,,,0.0166,1.7%,,NO PLAY,False,Low K average,UNDER 5.5 Ks,5.5,0.5166,Sandy Alcantara,-145.0
PITCHER K,2026-04-12,CHC,PIT,,,,,,,0.0164,1.6%,,NO PLAY,False,Facing high-K team,OVER 4.5 Ks,4.5,0.5164,Jameson Taillon,-128.0
PITCHER K,2026-04-12,SD,COL,,,,,,,0.01,1.0%,,NO PLAY,False,Standard play,UNDER 7.5 Ks,7.5,0.51,Nick Pivetta,-140.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.369,36.9%,,HIGH,True,Strong value,UNDER 0.5 hits,0.5,0.869,Yordan Alvarez,158.0
BATTER HITS,2026-04-12,PHI,ARI,,,,,,,0.2999,30.0%,,HIGH,True,Strong value,OVER 0.5 hits,0.5,0.7999,Geraldo Perdomo,-208.0
BATTER HITS,2026-04-12,CIN,LAA,,,,,,,0.2993,29.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7993,Jo Adell,180.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.2857,28.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7857,Matt Olson,143.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.2856,28.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7856,Brayan Rocchio,-123.0
BATTER HITS,2026-04-12,DET,MIA,,,,,,,0.2831,28.3%,,HIGH,False,Cold streak; Strong value,UNDER 0.5 hits,0.5,0.7831,Xavier Edwards,120.0
BATTER HITS,2026-04-12,LAD,TEX,,,,,,,0.2783,27.8%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.7783,Alex Freeland,-125.0
BATTER HITS,2026-04-12,DET,MIA,,,,,,,0.2727,27.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7727,Jakob Marsee,-141.0
BATTER HITS,2026-04-12,SD,COL,,,,,,,0.2706,27.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7706,Jake Cronenworth,-156.0
BATTER HITS,2026-04-12,TB,NYY,,,,,,,0.2687,26.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7687,Hunter Feduccia,135.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.2665,26.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7665,Leo Rivas,-115.0
BATTER HITS,2026-04-12,MIL,WSH,,,,,,,0.2569,25.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7569,David Hamilton,-141.0
BATTER HITS,2026-04-12,SD,COL,,,,,,,0.2536,25.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7536,Kyle Karros,-109.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.253,25.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.753,Jerar Encarnación,-128.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.2469,24.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7469,Drake Baldwin,200.0
BATTER HITS,2026-04-12,CIN,LAA,,,,,,,0.2428,24.3%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7428,Sal Stewart,169.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.2377,23.8%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7377,Christian Walker,103.0
BATTER HITS,2026-04-12,CHC,PIT,,,,,,,0.2344,23.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7344,Michael Busch,-220.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.2338,23.4%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7338,Willy Adames,162.0
BATTER HITS,2026-04-12,SD,COL,,,,,,,0.2306,23.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7306,Miguel Andujar,183.0
BATTER HITS,2026-04-12,PHI,ARI,,,,,,,0.2304,23.0%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7304,Ildemaro Vargas,174.0
BATTER HITS,2026-04-12,PHI,ARI,,,,,,,0.2293,22.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7293,Bryce Harper,175.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.229,22.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.729,Jorge Mateo,-149.0
BATTER HITS,2026-04-12,TB,NYY,,,,,,,0.2285,22.8%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7285,Chandler Simpson,195.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.2184,21.8%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7184,Matt Chapman,158.0
BATTER HITS,2026-04-12,KC,CWS,,,,,,,0.216,21.6%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.716,Maikel Garcia,-233.0
BATTER HITS,2026-04-12,STL,BOS,,,,,,,0.2141,21.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7141,Victor Scott II,-150.0
BATTER HITS,2026-04-12,PHI,ARI,,,,,,,0.2138,21.4%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7138,Corbin Carroll,196.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.2135,21.4%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.7135,Tyler O'Neill,-196.0
BATTER HITS,2026-04-12,MIL,WSH,,,,,,,0.2095,20.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7095,James Wood,119.0
BATTER HITS,2026-04-12,KC,CWS,,,,,,,0.2086,20.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7086,Derek Hill,-152.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.2086,20.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7086,Jose Ramirez,-225.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.2078,20.8%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7078,Austin Riley,-196.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.2075,20.7%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.7075,Jung Hoo Lee,-217.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.2058,20.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7058,Nick Allen,-120.0
BATTER HITS,2026-04-12,SD,COL,,,,,,,0.2058,20.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7058,Jake McCarthy,-120.0
BATTER HITS,2026-04-12,CHC,PIT,,,,,,,0.1995,20.0%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.6995,Nico Hoerner,-200.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.1968,19.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6968,Cam Smith,113.0
BATTER HITS,2026-04-12,KC,CWS,,,,,,,0.1966,19.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6966,Kyle Isbel,-165.0
BATTER HITS,2026-04-12,LAD,TEX,,,,,,,0.1889,18.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6889,Shohei Ohtani,189.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.1877,18.8%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6877,Cal Raleigh,-172.0
BATTER HITS,2026-04-12,LAD,TEX,,,,,,,0.1856,18.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6856,Andy Pages,150.0
BATTER HITS,2026-04-12,CHC,PIT,,,,,,,0.1828,18.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6828,Marcell Ozuna,-250.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.1824,18.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6824,Eli White,-140.0
BATTER HITS,2026-04-12,PHI,ARI,,,,,,,0.1817,18.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6817,Tim Tawa,-167.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.1808,18.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6808,Luke Raley,-125.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.1787,17.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6787,David Fry,-109.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.176,17.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.676,Mike Yastrzemski,-147.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.1715,17.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6715,Coby Mayo,-154.0
BATTER HITS,2026-04-12,PHI,ARI,,,,,,,0.1702,17.0%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6702,Adolis Garcia,-169.0
BATTER HITS,2026-04-12,TB,NYY,,,,,,,0.1675,16.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6675,Jake Fraley,-122.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.1662,16.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6662,Angel Martinez,173.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.1645,16.4%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6645,Carlos Correa,153.0
BATTER HITS,2026-04-12,TB,NYY,,,,,,,0.1637,16.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6637,Taylor Walls,-110.0
BATTER HITS,2026-04-12,PHI,ARI,,,,,,,0.1631,16.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6631,James McCann,-149.0
BATTER HITS,2026-04-12,DET,MIA,,,,,,,0.163,16.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.663,Austin Slater,-120.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.1609,16.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6609,Jeremiah Jackson,155.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.1606,16.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6606,Bo Naylor,110.0
BATTER HITS,2026-04-12,LAD,TEX,,,,,,,0.1605,16.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6605,Ezequiel Duran,-204.0
BATTER HITS,2026-04-12,TOR,MIN,,,,,,,0.1596,16.0%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.6596,Vladimir Guerrero Jr.,-256.0
BATTER HITS,2026-04-12,DET,MIA,,,,,,,0.1589,15.9%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.6589,Leo Jimenez,-103.0
BATTER HITS,2026-04-12,STL,BOS,,,,,,,0.1564,15.6%,,HIGH,False,Low BA; Strong value,UNDER 0.5 hits,0.5,0.6564,Jordan Walker,160.0
BATTER HITS,2026-04-12,MIL,WSH,,,,,,,0.1554,15.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6554,Garrett Mitchell,-173.0
BATTER HITS,2026-04-12,KC,CWS,,,,,,,0.1551,15.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6551,Miguel Vargas,-205.0
BATTER HITS,2026-04-12,MIL,WSH,,,,,,,0.1548,15.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6548,Brandon Lockridge,-183.0
BATTER HITS,2026-04-12,TB,NYY,,,,,,,0.153,15.3%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.653,Jonathan Aranda,143.0
BATTER HITS,2026-04-12,TOR,MIN,,,,,,,0.1526,15.3%,,HIGH,False,High BA; Strong value,OVER 0.5 hits,0.5,0.6526,Tyler Heineman,-114.0
BATTER HITS,2026-04-12,MIL,WSH,,,,,,,0.1521,15.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6521,Jake Bauers,-156.0
BATTER HITS,2026-04-12,CHC,PIT,,,,,,,0.1515,15.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6515,Henry Davis,-192.0
BATTER HITS,2026-04-12,LAD,TEX,,,,,,,0.1515,15.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6515,Joc Pederson,-121.0
BATTER HITS,2026-04-12,DET,MIA,,,,,,,0.1499,15.0%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6499,Javier Baez,-104.0
BATTER HITS,2026-04-12,SD,COL,,,,,,,0.1496,15.0%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.6496,Ramon Laureano,-231.0
BATTER HITS,2026-04-12,STL,BOS,,,,,,,0.1486,14.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6486,Nolan Gorman,-147.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.1482,14.8%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6482,Casey Schmitt,154.0
BATTER HITS,2026-04-12,TOR,MIN,,,,,,,0.1474,14.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6474,Ernie Clement,161.0
BATTER HITS,2026-04-12,KC,CWS,,,,,,,0.1471,14.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6471,Colson Montgomery,-185.0
BATTER HITS,2026-04-12,SD,COL,,,,,,,0.1451,14.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6451,Ty France,-204.0
BATTER HITS,2026-04-12,CIN,LAA,,,,,,,0.1446,14.5%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6446,Elly De La Cruz,150.0
BATTER HITS,2026-04-12,KC,CWS,,,,,,,0.1442,14.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6442,Jonathan India,-182.0
BATTER HITS,2026-04-12,TB,NYY,,,,,,,0.144,14.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.644,Trent Grisham,-156.0
BATTER HITS,2026-04-12,ATL,CLE,,,,,,,0.1437,14.4%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.6437,Austin Hedges,115.0
BATTER HITS,2026-04-12,KC,CWS,,,,,,,0.1431,14.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6431,Luisangel Acuna,-189.0
BATTER HITS,2026-04-12,SEA,HOU,,,,,,,0.1427,14.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6427,Julio Rodriguez,-244.0
BATTER HITS,2026-04-12,CIN,LAA,,,,,,,0.1423,14.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6423,Bryce Teodosio,-130.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.1409,14.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6409,Leody Taveras,-190.0
BATTER HITS,2026-04-12,LAD,TEX,,,,,,,0.1406,14.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6406,Freddie Freeman,198.0
BATTER HITS,2026-04-12,BAL,SF,,,,,,,0.1405,14.0%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6405,Christian Koss,-139.0
BATTER HITS,2026-04-12,CIN,LAA,,,,,,,0.1393,13.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6393,Zach Neto,184.0
BATTER HITS,2026-04-12,TOR,MIN,,,,,,,0.1385,13.8%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6385,Davis Schneider,-130.0
BATTER HITS,2026-04-12,STL,BOS,,,,,,,0.1383,13.8%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6383,Willson Contreras,190.0
