bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
FULL GAME TOTAL,2026-04-07,TB,CHC,,Drew Rasmussen,Javier Assad,,,,0.034,3.4%,,NO PLAY,False,Elite SP matchup,UNDER,7.5,0.534
FULL GAME TOTAL,2026-04-07,MIA,CIN,,Sandy Alcantara,Andrew Abbott,,,,0.0186,1.9%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup,UNDER,7.0,0.5186
FULL GAME TOTAL,2026-04-07,MIN,DET,,Taj Bradley,Tarik Skubal,,,,0.0151,1.5%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,6.5,0.5151
FULL GAME TOTAL,2026-04-07,CWS,BAL,,Shane Smith,Trevor Rogers,,,,0.008,0.8%,,NO PLAY,False,"Low-scoring teams; Weak pitching, but line already accounts for it",UNDER,7.0,0.508
F5 TOTAL,2026-04-07,WSH,STL,,Cade Cavalli,Matthew Liberatore,,,,0.1708,17.1%,,MEDIUM,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,4.1,0.6708
F5 TOTAL,2026-04-07,TOR,LAD,,Kevin Gausman,Yoshinobu Yamamoto,,,,0.1196,12.0%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,4.1,0.6196
F5 TOTAL,2026-04-07,BOS,MIL,,Garrett Crochet,Jacob Misiorowski,,,,0.1057,10.6%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,3.9,0.6057
F5 TOTAL,2026-04-07,COL,HOU,,Kyle Freeland,Mike Burrows,,,,0.0902,9.0%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; High-scoring teams, but line is inflated; Strong value",UNDER,6.1,0.5902
F5 TOTAL,2026-04-07,LAA,ATL,,Yusei Kikuchi,Reynaldo López,,,,0.0859,8.6%,,NO PLAY,False,Strong value,UNDER,4.7,0.5859
F5 TOTAL,2026-04-07,MIA,CIN,,Sandy Alcantara,Andrew Abbott,,,,0.0803,8.0%,,NO PLAY,False,"Pitcher-friendly park, but other factors favor OVER; Elite SPs, but line overreacts; Strong value",OVER,3.9,0.5803
F5 TOTAL,2026-04-07,CWS,BAL,,Shane Smith,Trevor Rogers,,,,0.077,7.7%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Weak pitching matchup",OVER,3.9,0.577
F5 TOTAL,2026-04-07,PIT,SD,,Paul Skenes,Nick Pivetta,,,,0.0716,7.2%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,3.6,0.5716
F5 TOTAL,2026-04-07,TB,CHC,,Drew Rasmussen,Javier Assad,,,,0.0614,6.1%,,NO PLAY,False,Elite SP matchup,UNDER,4.1,0.5614
F5 TOTAL,2026-04-07,CLE,KC,,Gavin Williams,Noah Cameron,,,,0.0433,4.3%,,NO PLAY,False,Low-scoring teams; Elite SP matchup,UNDER,3.6,0.5433
F5 TOTAL,2026-04-07,TEX,SEA,,Nathan Eovaldi,George Kirby,,,,0.0356,3.6%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Weak pitching matchup",OVER,4.1,0.5356
F5 TOTAL,2026-04-07,MIN,DET,,Taj Bradley,Tarik Skubal,,,,0.0346,3.5%,,NO PLAY,False,Elite SP matchup,UNDER,3.6,0.5346
F5 TOTAL,2026-04-07,NYM,ARI,,Freddy Peralta,Zac Gallen,,,,0.008,0.8%,,NO PLAY,False,Standard play,UNDER,3.9,0.508
F5 TOTAL,2026-04-07,SF,PHI,,Robbie Ray,Cristopher Sánchez,,,,0.001,0.1%,,NO PLAY,False,"Pitcher-friendly park, but other factors favor OVER; Low-scoring teams, but line is set too low; Elite SPs, but line overreacts",OVER,3.9,0.501
