bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
F5 TOTAL,2026-04-05,SF,NYM,,Logan Webb,Kodai Senga,,,,0.0911,9.1%,,NO PLAY,False,"Pitcher-friendly park favors UNDER; Weak pitching, but line already accounts for it; Strong value",UNDER,3.9,0.5911
F5 TOTAL,2026-04-05,NYY,MIA,,Max Fried,Chris Paddack,,,,0.077,7.7%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it",UNDER,4.4,0.577
F5 TOTAL,2026-04-05,DET,STL,,Keider Montero,Kyle Leahy,,,,0.0747,7.5%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,4.4,0.5747
F5 TOTAL,2026-04-05,TEX,CIN,,Jack Leiter,Chase Burns,,,,0.0618,6.2%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Elite SPs, but line overreacts",OVER,4.1,0.5618
F5 TOTAL,2026-04-05,MIN,TB,,Simeon Woods Richardson,Nick Martinez,,,,0.0519,5.2%,,NO PLAY,False,Elite SP matchup,UNDER,4.4,0.5519
F5 TOTAL,2026-04-05,COL,PHI,,Tomoyuki Sugano,Taijuan Walker,,,,0.0502,5.0%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Weak pitching, but line already accounts for it",UNDER,6.1,0.5502
F5 TOTAL,2026-04-05,CWS,TOR,,Davis Martin,Eric Lauer,,,,0.0304,3.0%,,NO PLAY,False,Standard play,UNDER,4.4,0.5304
F5 TOTAL,2026-04-05,CLE,CHC,,Slade Cecconi,Edward Cabrera,,,,0.0267,2.7%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,4.1,0.5267
F5 TOTAL,2026-04-05,CLE,CHC,,Parker Messick,Shota Imanaga,,,,0.0137,1.4%,,NO PLAY,False,Standard play,UNDER,4.1,0.5137
F5 TOTAL,2026-04-05,PIT,BAL,,Braxton Ashcraft,Chris Bassitt,,,,0.0124,1.2%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,4.7,0.5124
